District,Date,Operator,Lease/Facility Name,Lease/ID,API#,Drill Permit #,Well #,Field Name,County,Fire,H2S,Injuries,Deaths,Remarks
08,10/19/2016,Pearl Resources Operationg Co.,Garnet State,,371-39426,818111,4,Wolfbone (Trend Area),Pecos,N,Y,0,0,Unprepared to hit a heavy flow while drilling.
08,10/24/2016,Enervest Operating LLC,Childrens Home 2,,483-33092,265280,4H,Frye Ranch (consolidated),Wheeler,N,N,0,0,Well is being worked over and had wellhead removed when well kicked and blew out.
10,10/17/2016,Three Rivers,Ladybird SWD,,109-32953,815536,1,"Ford, West (Wolfcamp)",Culberson,N,Y,0,0,"There is already surface casing 13 3/8” @ 558’ & circ, they TD’d at 2775’ and was going to run intermediate 9 5/8” when the stripping rubber failed inside the casing shoe. The operator had an uncontrolled flow with H2S and also a spot 150’ north of the rig started flowing water with H2S also."
08,9/30/2016,Lamay Corporation,State Tract 117,58974,007-30101,,1,Bartell Pass (Frio M),Aransas,N,N,0,0,well leaking dry gas into the atmosphere. The leaking well was reported to the TGLO by a boater in Aransas Bay.
04,9/24/2016,Kinder Morgan Production Co LLC,Goldsmith-Landreth/San Andres unit,,135-43426,817824,201AW,Goldsmith,Ector,N,Y,0,0,"new drillwell going uncontrolled starting at 1 am on September 24, 2016. They had shut down W Scharbauer Street which is about 800’ north of the well. Kinder Morgan had Wild Well Control contacted and heading there."
08,9/20/2016,Cabot Oil & Gas Corporation,Weldon Shcorp-prickly pear unit,271065,163-33670,,,Indio Tanks (Pearsall),Frio,N,N,0,0,Producing well (no active work was being performed on well at time of discovery) developed uncontrolled leak of dry gas in KTH flange at slips.
01,7/13/2016,Lone Star NGL Mont Belvieu,Central Terminal Lease,12081,,,1,Salt dome storage,Chambers,N,N,0,0,Leaking salt dome.
03,7/6/2016,"Cross Timbers Energy, LLC",Penwell Unit,23007,135-01481,,2388W,Penwell,Ector,N,Y,0,0,uncontrolled gas release from an unknown source breaking out to the surface from the outside of the surface casing of the above well.
08,7/1/2016,"EOG Resources, Inc.","Kleberg, RJ TR Stillman",258933,261-31544,,505,Tordilla (Deep Cons.),Kenedy,N,N,0,0,"During plugging operations, while attempting to cut and pull with casing jacks the 7-5/8” intermediated casing from approximately 50’ below the surface casing shoe depth (2,516’), the weld between the pulling nipple and the casing broke and the well began to flow. The well was full with 9.5-ppg plugging mud for well control purposes. The well flowed mud, followed by produced water for approximately one hour, until the flowing pressure had decreased enough that the pulling tools could be laid down, and the casinghead and master valve could be bolted back onto the wellhead. The shut-in wellhead pressure was 50-psi and the well is now under control."
04,6/29/2016,"Enerquest Operating, LLC",Brysch,258318,255-00718,,1,Panna Maria (Edwards),Karnes,N,Y,0,0,"it appears that during one of Encana’s frac jobs the pump jack on the Brysch #1 locked up and casing pressure increased on the Brysch #1, causing significant increase of water production into tanks, ultimately compromising the stuffing box seals, and water is now leaking through the stuffing box into the air and onto the ground. Enerquest personnel are not able to bring the well under control. Encana has agreed to take over kill operations of the well and is currently moving equipment onto location to perform top-down bullhead kill operation with oil-based mud. Encana states no elevated H2S levels have been detected thus far. H-9 on file from Enerquest shows H2S concentration at 25,600 ppm at 500 mcf/day. Both 100 ppm and 500 ppm ROE do not contain a public area or a public road. At least one nearby house has been evacuated as a precautionary measure. County Sheriff is controlling roadway, no shutdown of any public roads yet."
01/02,6/26/2016,"Equistar Chemicals, LP","Equistar Chemicals, LP",10752,071-81605,,7,Barbers Hill (Storage Cavern),Chambers,Y,N,0,0,pressurized cavern storage well in which communication to the surface has been observed.
03,6/2/2016,XTO Energy Inc.,Cordona Lake Consolidated,20582,103-32391,,62W,Cordona Lake,Crane,N,N,0,0,"The top section of the wellhead fell off due to a faulty wellhead per XTO. CO2 is blowing up approximately 20’ into the air with some produced water being released. XTO has well control equipment in route via a third party well control company. H2S and lower explosive limit (LEL) monitors have been placed around the location. None has been detected. The location is under 24 hour supervision. Well control operations are to begin tomorrow morning. Well is located at or near Juan Cordona Lake shoreline, an intermittent or salt lake, which currently contains water."
08,5/3/2016,"Mesa Operating, LLC",Jimmy Marshall,,307-31187,813672,2,Lohn (Strawn 900),McCulloch,N,N,0,0,"Well blowing mud ~ 7 ft. above the rig floor, with mud around the well bore. They were pulling out of the hole preparing to RIH with casing. TD of the well is 994’. There is 450 of drill collars in the hole with a wiper rubber on the drill pipe. Southwest fluids from Abilene is on location with additional mud to kill the well. Well is located ~ 150’ north of CR 504. This is a single string completion. The cementers and casing are on location."
7C,4/6/2016,Apache Corporation,Magpie Unit,,301-32807,812057,,Phantom (Wolfcamp),Loving,N,N,0,0,"completed, frac'd, and was blowing the well down when it plugged up. They currently have a rig on well that had been working to unplug the well. The BOP's are shut and the well is blowing out through a connection that failed below the BOP's."
